,borough,year,all_ages,minor,18_24,25_34,35_44,45_54,55_64,65+,houses_sold,average_price,all_ages_change,all_ages_pct_change,minor_change,minor_pct_change,18_24_change,18_24_pct_change,25_34_change,25_34_pct_change,35_44_change,35_44_pct_change,45_54_change,45_54_pct_change,55_64_change,55_64_pct_change,65+_change,65+_pct_change,houses_sold_change,houses_sold_pct_change,average_price_change,average_price_pct_change
37,bexley,2011,232774,54201,21021,28652,32476,33734,25184,37506,2545,200672,2063.0,0.008941923011906772,285.0,0.00528600044513694,581.0,0.02842465753424661,486.0,0.017254846268550672,-810.0,-0.024334555068196817,871.0,0.026503971031250906,-25.0,-0.0009917093101670105,675.0,0.018326952838641386,75.0,0.030364372469635637,-202.0,-0.001005605503947793
38,bexley,2012,234271,54556,21273,29148,31584,34379,24811,38520,2874,202546,1497.0,0.00643113062455436,355.0,0.006549694655080263,252.0,0.011988011988012026,496.0,0.017311182465447494,-892.0,-0.027466436753294743,645.0,0.019120175490602964,-373.0,-0.0148109911054638,1014.0,0.027035674292113177,329.0,0.12927308447937125,1874.0,0.009338622229309479
39,bexley,2013,236687,54907,21506,29905,31467,34776,24928,39198,3378,213470,2416.0,0.01031284281878686,351.0,0.006433756140479474,233.0,0.010952851031824418,757.0,0.025970907094826412,-117.0,-0.00370440729483279,397.0,0.011547747171238187,117.0,0.004715650316391873,678.0,0.017601246105918955,504.0,0.17536534446764085,10924.0,0.05393342746832808
40,bexley,2014,239865,55545,21320,31144,31575,35157,25301,39823,3944,244459,3178.0,0.01342701542543523,638.0,0.011619647768044139,-186.0,-0.008648749186273563,1239.0,0.04143119879618795,108.0,0.0034321670321288966,381.0,0.010955831608005617,373.0,0.014963093709884356,625.0,0.015944691055666205,566.0,0.16755476613380704,30989.0,0.14516793928889316
41,bexley,2015,242142,55978,20677,32276,31823,35383,25917,40088,3942,274209,2277.0,0.009492839722343716,433.0,0.007795481141416927,-643.0,-0.030159474671669795,1132.0,0.0363472900077062,248.0,0.00785431512272372,226.0,0.006428307307221992,616.0,0.024346863760325688,265.0,0.006654445923210295,-2.0,-0.0005070993914807476,29750.0,0.1216972989335634
42,brent,2002,269871,59538,28558,55050,43791,29714,22796,30424,4803,185898,,,,,,,,,,,,,,,,,,,,
43,brent,2003,268323,60437,27338,52881,44030,30415,22712,30510,4226,216501,-1548.0,-0.0057360739019753915,899.0,0.015099600255299217,-1220.0,-0.042720078436865316,-2169.0,-0.03940054495912804,239.0,0.005457742458496062,701.0,0.023591572995894206,-84.0,-0.003684856992454799,86.0,0.00282671575072313,-577.0,-0.12013325005205078,30603.0,0.16462253493851464
44,brent,2004,268335,60862,27118,51781,43794,31371,22698,30711,4076,236023,12.0,4.472221911644425e-05,425.0,0.007032116087827056,-220.0,-0.008047406540346747,-1100.0,-0.02080142206085367,-236.0,-0.005359981830570071,956.0,0.031431859279960506,-14.0,-0.0006164142303628495,201.0,0.0065880039331367435,-150.0,-0.03549455750118313,19522.0,0.09017048420099671
45,brent,2005,270939,61680,27364,51982,43934,32109,22893,30977,3274,241690,2604.0,0.009704287551008939,818.0,0.013440241858631019,246.0,0.009071465447304305,201.0,0.0038817326818716413,140.0,0.0031967849477096966,738.0,0.023524911542507354,195.0,0.00859106529209619,266.0,0.008661391683761455,-802.0,-0.19676153091265947,5667.0,0.024010371870538005
46,brent,2006,276504,63008,28328,53712,43966,33224,23239,31027,3937,253253,5565.0,0.02053967867305917,1328.0,0.021530479896238575,964.0,0.03522876772401706,1730.0,0.03328075102920236,32.0,0.0007283652751854941,1115.0,0.03472546638014262,346.0,0.015113790241558567,50.0,0.0016141007844530098,663.0,0.20250458155161888,11563.0,0.047842277297364344
47,brent,2007,283273,64436,29759,55439,44476,34139,23695,31329,4285,286995,6769.0,0.024480658507652686,1428.0,0.02266378872524122,1431.0,0.05051539113244852,1727.0,0.03215296395591305,510.0,0.011599872628849539,915.0,0.02754033228991082,456.0,0.019622186841086187,302.0,0.009733457955973801,348.0,0.08839217678435363,33742.0,0.1332343545782282
48,brent,2008,290901,65790,30888,58191,44878,35524,24102,31528,2060,292757,7628.0,0.026928087039710835,1354.0,0.02101309826804898,1129.0,0.03793810275882925,2752.0,0.04964014502426095,402.0,0.009038582606349488,1385.0,0.04056943671460789,407.0,0.017176619539987392,199.0,0.0063519422898912214,-2225.0,-0.5192532088681447,5762.0,0.02007700482586805
49,brent,2009,298118,67496,30946,60450,45606,36908,24791,31921,1571,264402,7217.0,0.024809127503858663,1706.0,0.025930992552059662,58.0,0.0018777518777519653,2259.0,0.038820436149920035,728.0,0.01622175676277915,1384.0,0.03895957662425409,689.0,0.028586839266451003,393.0,0.012465110378076627,-489.0,-0.237378640776699,-28355.0,-0.09685507092913237
50,brent,2010,304785,69010,31206,62570,45585,38241,25828,32345,2389,289562,6667.0,0.022363627825223498,1514.0,0.02243095887163693,260.0,0.008401732049376331,2120.0,0.03507030603804795,-21.0,-0.000460465728193693,1333.0,0.03611683103934116,1037.0,0.041829696260739846,424.0,0.013282791892484491,818.0,0.5206874602164226,25160.0,0.09515813042261412
51,brent,2011,312245,70453,31322,65335,46263,39072,26958,32842,2191,298964,7460.0,0.02447627015765219,1443.0,0.020910013041588238,116.0,0.003717233865282221,2765.0,0.044190506632571624,678.0,0.014873313589996773,831.0,0.021730603279202843,1130.0,0.04375096794176869,497.0,0.015365589735662377,-198.0,-0.08287986605274178,9402.0,0.03246973014414878
52,brent,2012,314660,71668,30058,65036,46751,39689,27737,33721,2057,314112,2415.0,0.007734311197937549,1215.0,0.017245539579577862,-1264.0,-0.04035502202924457,-299.0,-0.004576413866993145,488.0,0.010548386399498622,617.0,0.015791359541359462,779.0,0.02889680243341486,879.0,0.02676450886060522,-134.0,-0.06115928799634873,15148.0,0.05066830788991328
53,brent,2013,317264,72548,29163,64562,47270,40275,28921,34525,2465,339655,2604.0,0.008275599059302197,880.0,0.01227884132388235,-895.0,-0.029775766850755225,-474.0,-0.0072882711113844145,519.0,0.011101366815683189,586.0,0.014764796291163895,1184.0,0.042686664022785425,804.0,0.02384270929094634,408.0,0.19834710743801653,25543.0,0.08131812856560727
54,brent,2014,320762,74016,28585,63474,48006,40792,30344,35545,2984,394687,3498.0,0.01102551818044284,1468.0,0.02023487897667753,-578.0,-0.019819634468333125,-1088.0,-0.016852018215049114,736.0,0.015570129045906489,517.0,0.012836747361887113,1423.0,0.04920300127934718,1020.0,0.029543808834178176,519.0,0.21054766734279928,55032.0,0.16202322945341607
55,brent,2015,324012,75014,28459,62432,48847,41172,31457,36631,3126,440951,3250.0,0.010132122882386296,998.0,0.013483571119757842,-126.0,-0.004407906244533799,-1042.0,-0.016416170400478935,841.0,0.01751864350289556,380.0,0.009315552069033117,1113.0,0.03667940943843928,1086.0,0.030552820368547007,142.0,0.0475871313672922,46264.0,0.11721693392485699
56,bromley,2002,296668,65668,20365,41935,47708,38532,32483,49977,8058,186646,,,,,,,,,,,,,,,,,,,,
57,bromley,2003,297253,65963,20213,40862,48709,38037,33508,49961,6875,215993,585.0,0.001971901249882002,295.0,0.004492294572699063,-152.0,-0.007463785907193765,-1073.0,-0.025587218314057525,1001.0,0.0209818059864173,-495.0,-0.01284646527561506,1025.0,0.0315549672136195,-16.0,-0.00032014726774320934,-1183.0,-0.14681062298337055,29347.0,0.1572334794209358
58,bromley,2004,297307,66096,19965,40104,49038,37924,34103,50077,7533,234462,54.0,0.000181663431487733,133.0,0.0020162818549793737,-248.0,-0.012269331618265489,-758.0,-0.018550242278889906,329.0,0.006754398571106046,-113.0,-0.002970791597654898,595.0,0.01775695356332818,116.0,0.0023218110125897695,658.0,0.09570909090909097,18469.0,0.0855074007028005
59,bromley,2005,299421,66760,20034,39613,49606,38479,34714,50215,6335,239786,2114.0,0.007110495212020007,664.0,0.010045993706124356,69.0,0.003456048084147234,-491.0,-0.012243167763814067,568.0,0.011582854113136642,555.0,0.014634532222339347,611.0,0.017916312347887375,138.0,0.002755756135551346,-1198.0,-0.15903358555688307,5324.0,0.02270730438194679
60,bromley,2006,300963,67144,20295,39088,49782,39300,35363,49991,8367,249691,1542.0,0.005149939383009228,384.0,0.00575194727381656,261.0,0.01302785265049411,-525.0,-0.013253224951404796,176.0,0.0035479579083175228,821.0,0.021336313313755628,649.0,0.018695627124503122,-224.0,-0.0044608184805337014,2032.0,0.32075769534333065,9905.0,0.041307666002185384
61,bromley,2007,302625,67596,20765,39132,49551,40170,35370,50041,7968,277230,1662.0,0.005522273502058361,452.0,0.006731800309782043,470.0,0.023158413402315947,44.0,0.0011256651657798322,-231.0,-0.004640231408942985,870.0,0.022137404580152564,7.0,0.0001979470067585698,50.0,0.001000180032405762,-399.0,-0.04768734313373968,27539.0,0.11029232130913802
